2112	-1	1
-2112	1	-1
2212	1	1
-2212	-1	-1
12112	-1	2
-12112	1	-2
12212	1	2
-12212	-1	-2
1214	-1	3
-1214	1	-3
2124	1	3
-2124	-1	-3
22112	-1	4
-22112	1	-4
22212	1	4
-22212	-1	-4
32112	-1	5
-32112	1	-5
32212	1	5
-32212	-1	-5
2116	-1	6
-2116	1	-6
2216	1	6
-2216	-1	-6
12116	-1	7
-12116	1	-7
12216	1	7
-12216	-1	-7
21214	-1	8
-21214	1	-8
22124	1	8
-22124	-1	-8
42112	-1	9
-42112	1	-9
42212	1	9
-42212	-1	-9
31214	-1	10
-31214	1	-10
32124	1	10
-32124	-1	-10
1218	-1	14
-1218	1	-14
2128	1	14
-2128	-1	-14
1114	-3	17
-1114	3	-17
2114	-1	17
-2114	1	-17
2214	1	17
-2214	-1	-17
2224	3	17
-2224	-3	-17
31114	-3	18
-31114	3	-18
32114	-1	18
-32114	1	-18
32214	1	18
-32214	-1	-18
32224	3	18
-32224	-3	-18
1112	-3	19
-1112	3	-19
1212	-1	19
-1212	1	-19
2122	1	19
-2122	-1	-19
2222	3	19
-2222	-3	-19
11114	-3	20
-11114	3	-20
12114	-1	20
-12114	1	-20
12214	1	20
-12214	-1	-20
12224	3	20
-12224	-3	-20
11112	-3	21
-11112	3	-21
11212	-1	21
-11212	1	-21
12122	1	21
-12122	-1	-21
12222	3	21
-12222	-3	-21
1116	-3	22
-1116	3	-22
1216	-1	22
-1216	1	-22
2126	1	22
-2126	-1	-22
2226	3	22
-2226	-3	-22
21112	-3	23
-21112	3	-23
21212	-1	23
-21212	1	-23
22122	1	23
-22122	-1	-23
22222	3	23
-22222	-3	-23
21114	-3	24
-21114	3	-24
22114	-1	24
-22114	1	-24
22214	1	24
-22214	-1	-24
22224	3	24
-22224	-3	-24
11116	-3	25
-11116	3	-25
11216	-1	25
-11216	1	-25
12126	1	25
-12126	-1	-25
12226	3	25
-12226	-3	-25
1118	-3	26
-1118	3	-26
2118	-1	26
-2118	1	-26
2218	1	26
-2218	-1	-26
2228	3	26
-2228	-3	-26
3122	0	27
-3122	0	-27
13122	0	28
-13122	0	-28
3124	0	29
-3124	0	-29
23122	0	30
-23122	0	-30
33122	0	31
-33122	0	-31
13124	0	32
-13124	0	-32
43122	0	33
-43122	0	-33
53122	0	34
-53122	0	-34
3126	0	35
-3126	0	-35
13126	0	36
-13126	0	-36
23124	0	37
-23124	0	-37
3128	0	38
-3128	0	-38
23126	0	39
-23126	0	-39
3112	-2	40
-3112	2	-40
3212	0	40
-3212	0	-40
3222	2	40
-3222	-2	-40
3114	-2	41
-3114	2	-41
3214	0	41
-3214	0	-41
3224	2	41
-3224	-2	-41
13112	-2	42
-13112	2	-42
13212	0	42
-13212	0	-42
13222	2	42
-13222	-2	-42
13114	-2	43
-13114	2	-43
13214	0	43
-13214	0	-43
13224	2	43
-13224	-2	-43
23112	-2	44
-23112	2	-44
23212	0	44
-23212	0	-44
23222	2	44
-23222	-2	-44
3116	-2	45
-3116	2	-45
3216	0	45
-3216	0	-45
3226	2	45
-3226	-2	-45
13116	-2	46
-13116	2	-46
13216	0	46
-13216	0	-46
13226	2	46
-13226	-2	-46
23114	-2	47
-23114	2	-47
23214	0	47
-23214	0	-47
23224	2	47
-23224	-2	-47
3118	-2	48
-3118	2	-48
3218	0	48
-3218	0	-48
3228	2	48
-3228	-2	-48
3312	-1	49
-3312	1	-49
3322	1	49
-3322	-1	-49
3314	-1	50
-3314	1	-50
3324	1	50
-3324	-1	-50
13314	-1	52
-13314	1	-52
13324	1	52
-13324	-1	-52
3334	0	55
-3334	0	-55
22	0	100
-22	0	-100
-211	-2	101
111	0	101
211	2	101
221	0	102
-221	0	-102
223	0	103
-223	0	-103
-213	-2	104
113	0	104
213	2	104
10221	0	105
-10221	0	-105
311	-1	106
-311	1	-106
321	1	106
-321	-1	-106
331	0	107
-331	0	-107
313	-1	108
-313	1	-108
323	1	108
-323	-1	-108
333	0	109
-333	0	-109
10313	-1	110
-10313	1	-110
10323	1	110
-10323	-1	-110
-10211	-2	111
10111	0	111
10211	2	111
20221	0	112
-20221	0	-112
10313	-1	113
-10313	1	-113
10323	1	113
-10323	-1	-113
-20213	-2	114
20113	0	114
20213	2	114
20223	0	115
-20223	0	-115
40223	0	116
-40223	0	-116
315	-1	117
-315	1	-117
325	1	117
-325	-1	-117
-215	-2	118
115	0	118
215	2	118
225	0	119
-225	0	-119
335	0	120
-335	0	-120
20313	-1	121
-20313	1	-121
20323	1	121
-20323	-1	-121
-10213	-2	122
10113	0	122
10213	2	122
10223	0	123
-10223	0	-123
30313	-1	125
-30313	1	-125
30323	1	125
-30323	-1	-125
-40213	-2	126
40113	0	126
40213	2	126
50223	0	127
-50223	0	-127
10333	0	128
-10333	0	-128
40313	-1	129
-40313	1	-129
40323	1	129
-40323	-1	-129
-30213	-2	130
30113	0	130
30213	2	130
60223	0	131
-60223	0	-131
337	0	132
-337	0	-132
421	-1	133
-421	1	-133
411	1	133
-411	-1	-133
10421	-1	134
-10421	1	-134
10411	1	134
-10411	-1	-134
443	0	135
-443	0	-135
100443	0	136
-100443	0	-136
10441	0	137
-10441	0	-137
431	0	138
-431	0	-138
433	0	139
-433	0	-139
433	0	139
-433	0	-139
